firm_name,prospect_type,contact_name,email,county,touch,subject,send_status,prospect_status,sent_at,delivered_at,opened_at,wa_clicked_at,joined_whatsapp_at,bounced_at,suppressed,suppression_reason,prospect_id,send_id
DAVID W HARRIS- PONTYPRIDD,solicitor,MISS CLAIRE DODGSON,info@dwharris.co.uk,,Initial invite,Police station cover on WhatsApp — for criminal defence solicitors,clicked,sent,2026-06-22T09:39:56.027Z,2026-06-22T09:39:57.662Z,,2026-06-22T09:40:14.984Z,,,false,,fop_d90d68e5a9602262,fos_mqp0y42g_06fdadbf
ALSTERS KELLEY - COVENTRY,solicitor,MISS NICOLA GABRIEL,enquiries@alsterskelley.com,,Initial invite,Police station cover on WhatsApp — for criminal defence solicitors,clicked,sent,2026-06-22T09:39:52.781Z,2026-06-22T09:39:54.042Z,,2026-06-22T09:40:23.452Z,,,false,,fop_9fdfa25e20c17496,fos_mqp0y1k2_98fd8f8e
SMITH PARTNERSHIP-LEICESTER,solicitor,MS MARIE GOODACRE,info@smithpartnership.co.uk,,Initial invite,Police station cover on WhatsApp — for criminal defence solicitors,clicked,sent,2026-06-22T09:39:49.032Z,2026-06-22T09:39:50.474Z,,2026-06-22T09:40:49.374Z,,,false,,fop_4c172e4a304a331a,fos_mqp0xyq5_f5562078
RAJ LAW SOLICITORS,solicitor,MR KRIJAYANTH KRISHNAPILLAI,crime@rajlaw.co.uk,,Initial invite,Police station cover on WhatsApp — for criminal defence solicitors,bounced,bounced,2026-06-22T09:39:46.418Z,,,,,2026-06-22T09:39:47.645Z,true,bounce,fop_2395f41bdac5fffc,fos_mqp0xwpf_4141003a
MANDER CRUICKSHANK SOLICITORS LLP,solicitor,MR SEYED ABBAS KHORSAN,crime@mandersol.co.uk,,Initial invite,Police station cover on WhatsApp — for criminal defence solicitors,bounced,bounced,2026-06-22T09:39:43.367Z,,,,,2026-06-22T09:39:44.542Z,true,bounce,fop_76c310d9197adc0c,fos_mqp0xuan_3c8a7995
MARTYN PROWEL SOLICITORS,solicitor,MISS MICHELLE SPENCER,crime@mpgsolicitors.co.uk,,Initial invite,Police station cover on WhatsApp — for criminal defence solicitors,clicked,sent,2026-06-22T09:39:40.395Z,2026-06-22T09:39:42.384Z,,2026-06-22T09:52:53.936Z,,,false,,fop_68efc5ec345aad3f,fos_mqp0xs24_445ee900
TAYLOR HALDANE BARLEX LLP (THB),solicitor,MR DERIK LAMONT,crime@thblegal.com,,Initial invite,Police station cover on WhatsApp — for criminal defence solicitors,sent,bounced,2026-06-22T09:39:37.128Z,,,,,,true,bounce,fop_3b9fcf71a45044b7,fos_mqp0xpjf_0fd4b9dc
FOSTERS,firm,,info@fosterharrington.co.uk,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:31.797Z,2026-06-22T09:39:33.305Z,,2026-06-22T09:40:36.563Z,,,false,,fop_797cd5c4ea8bd7cd,fos_mqp0xldg_3f93a6f7
REEDS (INC. DEFENCE PARTNERS) - READING,firm,,info@readroper.co.uk,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:29.332Z,2026-06-22T09:39:31.358Z,,2026-06-22T09:40:10.788Z,,,false,,fop_e9697c582ae062c9,fos_mqp0xjj0_723ae7f9
WATSON WOODHOUSE,firm,,info@watsonwoodhouse.co.uk,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:25.524Z,2026-06-22T09:39:33.864Z,,2026-06-22T09:42:31.454Z,,,false,,fop_bc9689e4c033f274,fos_mqp0xgl7_1c686c3d
